index,feat_name,feat_imp
0,photflux_aper_u,0.06000750433153295
1,photflux_aper_hilim_u,0.03274684801321928
2,flux_aper_u,0.03127453858528991
3,flux_aper_lolim_u,0.0301635686491487
4,var_sigma,0.029651376284814485
5,var_max,0.025175087267540697
6,photflux_aper_lolim_u,0.024979091785506738
7,flux_powlaw_hilim,0.02218231896059857
8,bb_stat,0.021963138904552943
9,flux_powlaw_lolim,0.019740823348710863
10,var_mean,0.019615826813231974
11,flux_aper_hilim_u,0.01959483717775634
12,flux_brems_hilim,0.01804404780375768
13,flux_powlaw,0.0178181450909659
14,flux_aper_h,0.017207393788763452
15,flux_brems_lolim,0.015142572573286595
16,hard_hs_lolim,0.014753728472855731
17,flux_bb_lolim,0.014327259323777939
18,photflux_aper_h,0.01422173576294828
19,var_min,0.013260058683347438
20,powlaw_stat,0.013024145130444425
21,flux_bb_hilim,0.012841602648667788
22,flux_aper_hilim_h,0.012598083228576735
23,bb_kt_lolim,0.012458269094776729
24,brems_kt_hilim,0.012444711815087753
25,photflux_aper_hilim_h,0.012418611825435223
26,bb_kt_hilim,0.012354979019007766
27,flux_aper_m,0.012343683319965241
28,photflux_aper_m,0.012203741730056748
29,bb_ampl_hilim,0.011781877178708627
30,brems_kt,0.011713356972048679
31,bb_kt,0.011500227673813587
32,hard_hm_lolim,0.0112721526673636
33,photflux_aper_hilim_s,0.010868306738455135
34,brems_kt_lolim,0.010518418857567035
35,photflux_aper_hilim,0.009326517717018768
36,flux_aper_s,0.009026300175690845
37,flux_bb,0.008973104729293978
38,photflux_aper_lolim_s,0.008944215539967498
39,hard_hs,0.008845759199287252
40,flux_aper_lolim_s,0.008738819165980618
41,photflux_aper_lolim_h,0.00843388414343276
42,flux_brems,0.008386186893496168
43,bb_ampl,0.008193282372766687
44,photflux_aper_s,0.008182346911814119
45,bb_ampl_lolim,0.008162386943116119
46,flux_aper_hilim_s,0.008098720614386752
47,kp_prob,0.007913921282930607
48,flux_aper_lolim_h,0.007912319021616702
49,brems_stat,0.0077739140429532345
50,photflux_aper_hilim_b,0.007643402314104968
51,powlaw_nh_hilim,0.00762498481808207
52,photflux_aper_b,0.007483888510555999
53,powlaw_nh,0.007327744586523751
54,photflux_aper_lolim_m,0.0073093752155058605
55,brems_nh_lolim,0.007193659388918277
56,powlaw_ampl_lolim,0.007093321629039617
57,bb_nh_hilim,0.007077171142807067
58,flux_aper_hilim_b,0.0070164940011133
59,brems_nh_hilim,0.006904483924891574
60,photflux_aper_hilim_m,0.006744851890078537
61,hard_ms_lolim,0.006708192582705784
62,flux_aper_hilim_m,0.006572247042887415
63,photflux_aper,0.006224433414184151
64,flux_aper,0.006140672677926607
65,photflux_aper_lolim,0.006089300015314751
66,flux_aper_hilim,0.006021296205331961
67,photflux_aper_lolim_b,0.006016111319095911
68,ks_prob,0.005944453527387567
69,bb_nh_lolim,0.005745496858435949
70,hard_ms_hilim,0.0056951846749997
71,var_prob,0.00559863242522758
72,hard_hs_hilim,0.005568762044335283
73,powlaw_nh_lolim,0.005562356448167734
74,brems_nh,0.005550859710496579
75,powlaw_gamma_lolim,0.005539446169367835
76,flux_aper_b,0.005248962386257706
77,powlaw_gamma,0.005222500278476379
78,var_index,0.005163820787971468
79,hard_hm_hilim,0.0051443068363986565
80,flux_aper_lolim_m,0.004923305997496102
81,flux_aper_lolim,0.004871347375185175
82,hard_hm,0.0048512351189509825
83,hard_ms,0.004841299595344457
84,bb_nh,0.004724959760579476
85,powlaw_ampl_hilim,0.004698701458298266
86,powlaw_ampl,0.004597095203077673
87,powlaw_gamma_hilim,0.004477871964448
88,flux_aper_lolim_b,0.003714022424696184
