index,class,livetime,significance,likelihood,gti_obs,var_inter_sigma,var_inter_prob,var_inter_index,var_max,var_min,var_mean,var_sigma,kp_prob,ks_prob,var_prob,var_index,flux_aper_hilim,flux_aper_lolim,flux_aper,photflux_aper_hilim,photflux_aper_lolim,photflux_aper,hard_hm,hard_hs,hard_ms,flux_powlaw,powlaw_gamma,powlaw_nh,powlaw_ampl,powlaw_stat,flux_bb,flux_bb_hilim,flux_bb_lolim,bb_kt,bb_nh,bb_ampl,bb_stat,flux_brems,brems_kt,brems_nh,brems_stat,hard_hm_hilim,hard_hm_lolim,hard_hs_hilim,hard_hs_lolim,hard_ms_hilim,hard_ms_lolim,flux_powlaw_hilim,flux_powlaw_lolim,powlaw_gamma_hilim,powlaw_gamma_lolim,powlaw_nh_hilim,powlaw_nh_lolim,powlaw_ampl_hilim,powlaw_ampl_lolim,bb_ampl_lolim,bb_ampl_hilim,flux_brems_lolim,flux_brems_hilim,brems_kt_hilim,brems_kt_lolim,brems_nh_hilim,brems_nh_lolim,bb_kt_hilim,bb_kt_lolim,bb_nh_hilim,bb_nh_lolim
0,BH,41932.7,4.35,424.1624,2000-02-29T04:03:25,1.5746749999999998e-07,0.4525,1.75,0.00097365,0.00027725,0.0002846,3.8954999999999995e-05,0.0295,0.0295,0.4255,0.0,15.151795482768112,15.534613430292826,15.299902295386946,5.255319999999999e-07,2.1268200000000002e-07,3.65074e-07,-0.9994,-0.9994,-0.6971,,,,,,,,,,,,,,,,,-0.1618,-1.0,-0.7552,-1.0,-0.4653,-0.8788,,,,,,,,,,,,,,,,,,,,
1,BH,39623.0,4.35,424.1624,2005-08-20T09:03:34,1.5746749999999998e-07,0.4525,1.75,0.00090175,0.00017335,0.0003516,0.000223,0.9824999999999999,0.789,0.9195,4.0,14.947613904610625,15.325864820097543,15.13282724882135,6.4178e-07,2.6166800000000004e-07,3.9427999999999995e-07,0.0962,-0.9994,-0.757,,,,,,,,,,,,,,,,,0.4828,-0.6402,-0.6202,-1.0,-0.5628,-0.9026,,,,,,,,,,,,,,,,,,,,
2,BH,29673.9,4.35,424.1624,2013-12-09T01:11:41,1.5746749999999998e-07,0.4525,1.75,0.00044445,0.00030944999999999996,0.00031595,1.848e-05,0.503,0.6385000000000001,0.447,0.0,14.688988251018712,15.041754748107001,14.843047229232194,1.08928e-06,2.5578e-07,4.0194e-07,-0.9994,-0.9994,-0.9994,,,,,,,,,,,,,,,,,0.128,-1.0,-0.8101,-1.0,-0.7089,-1.0,,,,,,,,,,,,,,,,,,,,
0,BH,41932.7,23.63,3822.529,2000-02-29T04:03:25,1.18358e-05,0.9964000000000001,7.8,0.0025371399999999994,0.00118278,0.00125702,0.00012125599999999999,0.49779999999999996,0.5988,0.4218,1.0,14.10226627227136,14.232231357465015,14.161932082639916,3.5346199999999997e-06,2.6721000000000002e-06,3.10766e-06,0.0974,-0.1761,-0.2673,,,,,,,,,,,,,,,,,0.2255,-0.0381,-0.0606,-0.2954,-0.1655,-0.3679,,,,,,,,,,,,,,,,,,,,
1,BH,39623.0,23.63,3822.529,2005-08-20T09:03:34,1.18358e-05,0.9964000000000001,7.8,0.00335796,0.0032610800000000004,0.00330598,3.4747e-05,0.4264,0.46719999999999995,0.18380000000000002,0.0,13.6773094413256,13.763468784416245,13.717297243156692,9.4052e-06,7.601999999999999e-06,8.517e-06,-0.1324,-0.2898,-0.1624,13.369267107182804,2.451,23.29,1.971e-05,0.836,13.489186989487504,13.450751443145943,13.537302591898284,0.4657,1.986e-06,7.262e-05,1.936,13.385313657717987,2.481,11.05,0.859,-0.0468,-0.2217,-0.2105,-0.3691,-0.0956,-0.228,13.331334584545507,13.406935568341282,2.686,2.239,29.79,17.38,2.405e-05,1.625e-05,6.822e-05,9.334e-05,13.433798281145087,13.353400248279627,3.134,2.0,15.48,6.992,0.5002,0.4332,1.035,
2,BH,29673.9,23.63,3822.529,2013-12-09T01:11:41,1.18358e-05,0.9964000000000001,7.8,0.007894179999999999,0.004828519999999999,0.005101260000000001,0.00042634179999999995,0.42919999999999997,0.5602,0.35459999999999997,0.4,13.339159176967849,13.413232714189364,13.376213344258261,1.8542000000000003e-05,1.4035999999999999e-05,1.6290200000000002e-05,0.04,-0.0912,-0.1299,13.030770520137358,2.193,23.98,3.559e-05,0.846,13.114469166811908,13.079720105367052,13.147154181985004,0.592,1.225e-07,6.391e-05,1.743,13.044167989767578,3.44,13.14,0.814,0.1068,-0.0281,-0.0194,-0.1618,-0.0618,-0.1968,13.00256992620253,13.063787955679752,2.379,2.02,30.6,17.94,4.25e-05,2.99e-05,6.046e-05,7.81e-05,13.083177715404087,13.01399006814674,4.313,2.799,17.89,8.83,0.6263,0.5576,0.8602,
0,BH,39516.5,20.86,2946.576,2010-09-30T23:42:24,1.4700599999999999e-06,0.49260000000000004,2.6,0.0041335,0.0029326499999999998,0.0034093000000000005,0.0003798625,0.7999999999999999,0.74175,0.50475,1.75,13.532400772758876,13.615073401607845,13.574371236189823,8.4064e-06,6.610300000000002e-06,7.514199999999999e-06,0.1062,0.5609,0.4822,13.261774551857496,2.348,86.94,3.707e-05,1.288,13.35008128126458,13.300162274132754,13.456801414362353,0.7053,23.21,2.223e-05,2.494,13.281249265260335,3.559,64.63,1.498,0.1755,0.0344,0.634,0.4841,0.5628,0.3991,13.221559316428767,13.311580177997289,2.65,2.074,104.4,71.84,5.159e-05,2.71e-05,1.426e-05,3.601e-05,13.372736583431779,13.236871623200862,5.139,2.614,76.58,54.17,0.7901,0.627,35.2,13.05
1,BH,19807.2,20.86,2946.576,2012-10-31T17:20:25,1.4700599999999999e-06,0.49260000000000004,2.6,0.00429675,0.003188725,0.0036391,0.0003822125,0.7597499999999999,0.8009999999999999,0.4365,0.75,13.442817497425686,13.54941836792139,13.493841459009975,1.0557799999999999e-05,7.1222e-06,8.839199999999998e-06,0.1636,0.6034,0.4859,,,,,,,,,,,,,,,,,0.2555,0.0681,0.6989,0.5041,0.6002,0.3691,,,,,,,,,,,,,,,,,,,,
2,BH,19803.6,20.86,2946.576,2012-11-03T09:23:02,1.4700599999999999e-06,0.49260000000000004,2.6,0.00364075,0.0026268249999999997,0.0030426,0.00034812499999999996,0.513,0.81175,0.40225,0.25,13.487755990315657,13.604621180177846,13.544816979135353,8.0806e-06,5.7272e-06,6.6032e-06,0.2761,0.5522,0.3223,,,,,,,,,,,,,,,,,0.3729,0.173,0.654,0.4428,0.4616,0.1843,,,,,,,,,,,,,,,,,,,,
0,BH,39516.5,20.86,2946.576,2010-09-30T23:42:24,1.4700599999999999e-06,0.49260000000000004,2.6,0.0041335,0.0029326499999999998,0.0034093000000000005,0.0003798625,0.7999999999999999,0.74175,0.50475,1.75,13.532400772758876,13.615073401607845,13.574371236189823,8.4064e-06,6.610300000000002e-06,7.514199999999999e-06,0.1062,0.5609,0.4822,13.261774551857496,2.348,86.94,3.707e-05,1.288,13.35008128126458,13.300162274132754,13.456801414362353,0.7053,23.21,2.223e-05,2.494,13.281249265260335,3.559,64.63,1.498,0.1755,0.0344,0.634,0.4841,0.5628,0.3991,13.221559316428767,13.311580177997289,2.65,2.074,104.4,71.84,5.159e-05,2.71e-05,1.426e-05,3.601e-05,13.372736583431779,13.236871623200862,5.139,2.614,76.58,54.17,0.7901,0.627,35.2,13.05
