name ,var_inter_sigma,var_inter_prob,var_inter_index,var_max,var_min,var_mean,var_sigma,kp_prob,ks_prob,var_prob,var_index,flux_aper_hilim,flux_aper_lolim,flux_aper,photflux_aper_hilim,photflux_aper_lolim,photflux_aper
0,,,,0.17981740000000002,0.1784106,0.17914400000000003,0.0006228999999999999,0.8065999999999999,0.8019999999999999,0.16799999999999998,0.2,2.326392e-12,2.182308e-12,2.2553500000000005e-12,0.000509488,0.00047297600000000006,0.0004916419999999999
0,,,,0.1369634,0.136706,0.1368268,0.0001114918,0.7747999999999999,0.6328,0.08360000000000001,0.0,3.7873333333333333e-13,3.5966999999999997e-13,3.6926666666666666e-13,0.00023179999999999997,0.0002174,0.00022463333333333336
0,0.00011684120000000002,0.46319999999999995,2.6,0.32027500000000003,0.289936,0.3078705,0.012985,0.903,0.8175,0.5415,3.5,7.11196e-11,6.12604e-11,6.62012e-11,0.003913399999999999,0.0036232,0.0037685999999999996
1,0.00011684120000000002,0.46319999999999995,2.6,0.747,0.6378666666666667,0.7124666666666667,0.03224059533333334,1.0,0.997,0.5593333333333333,2.3333333333333335,1.139092e-10,9.1835e-11,1.032124e-10,0.0041078,0.0036490000000000003,0.0038848
0,,,,0.01571986,0.00791548,0.01233914,0.003091268,0.8051999999999999,0.8492000000000001,0.7562,4.6,1.4920640000000002e-13,1.3530600000000002e-13,1.4224200000000003e-13,4.251e-05,3.573400000000001e-05,3.9144e-05
0,4.513200000000001e-05,1.0,8.0,0.029949999999999997,0.0226178,0.0252306,0.00199679798,0.8545999999999999,0.6706000000000001,0.371,1.0,2.18284e-13,1.8866e-13,2.03734e-13,7.884999999999999e-05,6.7714e-05,7.3316e-05
1,4.513200000000001e-05,1.0,8.0,0.0181426,0.007040199999999999,0.011212399999999999,0.0036127400000000006,0.9642,0.8846,0.7814,3.6,9.736200000000001e-14,7.9672e-14,8.8606e-14,2.537e-05,1.862e-05,2.20275e-05
2,4.513200000000001e-05,1.0,8.0,0.014107,0.0100548,0.0110124,0.0009992039999999998,0.44320000000000004,0.48019999999999996,0.27840000000000004,1.2,1.1469000000000001e-13,9.115199999999999e-14,1.02982e-13,5.2844000000000004e-05,4.2104e-05,4.7508e-05
0,,,,0.10133750000000001,0.09892475,0.09987999999999998,0.0006705999999999999,0.39975,0.33075,0.13524999999999998,0.0,1.38011e-12,1.177264e-12,1.2802739999999998e-12,0.000336406,0.000273432,0.000305062
0,,,,0.028652499999999997,0.0131235,0.0203475,0.0054382499999999995,0.89525,0.97875,0.69425,2.25,2.483796e-12,5.04992e-13,1.5212060000000003e-12,0.000156794,6.9258e-05,0.000114122
0,,,,0.059875000000000005,0.059125,0.0595,0.000385591,0.71875,0.5327500000000001,0.11,0.0,1.0105599999999999e-12,8.88264e-13,9.5033e-13,0.00019122999999999997,0.000154586,0.000172978
1,,,,,,,,,,,,5.41115e-13,4.5211250000000006e-13,4.980825e-13,0.00012880750000000002,0.00010627,0.00011786000000000001
0,,,,0.059875000000000005,0.059125,0.0595,0.000385591,0.71875,0.5327500000000001,0.11,0.0,1.0105599999999999e-12,8.88264e-13,9.5033e-13,0.00019122999999999997,0.000154586,0.000172978
1,,,,,,,,,,,,5.41115e-13,4.5211250000000006e-13,4.980825e-13,0.00012880750000000002,0.00010627,0.00011786000000000001
0,7.971342e-05,0.7786,5.8,0.1076478,0.0281582,0.06263960000000002,0.019397902,0.9648,0.9372,0.7894,6.6,1.0260439999999998e-12,9.7851e-13,1.002848e-12,0.000193256,0.00018274000000000003,0.000188058
1,7.971342e-05,0.7786,5.8,0.25789419999999996,0.032418,0.09001599999999998,0.042282788,0.9014,0.8560000000000001,0.8138,7.4,1.6869740000000001e-12,1.6243960000000001e-12,1.6562240000000003e-12,0.000274698,0.000262338,0.00026862
0,,,,0.17076600000000003,0.13572,0.14829799999999999,0.009988029999999998,0.9251999999999999,0.8322,0.5388,2.4,1.22672e-12,1.1615e-12,1.19452e-12,0.0005510199999999999,0.00052074,0.0005363200000000001
0,,,,0.00110665,0.0008452500000000001,0.0008634,3.5755e-05,0.42674999999999996,0.4875,0.32175,0.0,7.857780000000001e-15,5.5868159999999995e-15,6.722200000000001e-15,2.14866e-06,1.47603e-06,1.81824e-06
0,,,,0.0002888,0.0001458,0.0001828,3.977e-05,0.725,0.929,0.547,1.0,1.01766e-15,2.2046399999999998e-16,6.268799999999999e-16,3.9468e-07,1.0142399999999998e-07,2.5154e-07
0,4.7537200000000005e-06,0.8863999999999999,5.8,0.009586719999999998,0.00928358,0.0094173,0.00013754000000000001,0.6138,0.5966,0.2488,0.0,3.7192599999999996e-14,3.24904e-14,3.48724e-14,2.8560999999999993e-05,2.497628e-05,2.6792599999999998e-05
1,4.7537200000000005e-06,0.8863999999999999,5.8,0.010329739999999999,0.0094981,0.00960446,0.00015303939999999997,0.6654,0.5766,0.282,0.2,3.7166799999999996e-14,3.24366e-14,3.4853400000000004e-14,2.8888799999999994e-05,2.5194439999999997e-05,2.70526e-05
2,4.7537200000000005e-06,0.8863999999999999,5.8,0.0052981799999999996,0.005093779999999999,0.005110680000000001,2.9734e-05,0.29100000000000004,0.3368,0.2596,0.2,4.05502e-14,3.4931999999999996e-14,3.78032e-14,2.810976e-05,2.318738e-05,2.572376e-05
