,exp_time,hardness,var_mean,var_sigma,cnts_aper,flux_aper,flux_aper_hilim,flux_aper_lolim,flux_significance
count,17642.0,5660.0,11342.0,11342.0,17642.0,16952.0,16952.0,16952.0,17553.0
mean,42808.258746174826,0.8495727715325608,0.03279918121949399,0.49838446643241674,44.6483335222766,4.322983601919842e-13,6.737173592633925e-13,2.084201222019754e-13,1.9119350823221035
std,36000.91292971105,13.661280458677846,0.6125316299346203,9.920191102031076,1044.6703366469594,2.0575348741401176e-11,3.1270985693896224e-11,1.0422349734262523e-11,2.983769935203353
min,845.1,-399.76,2.293e-05,2.177e-12,0.0,0.0,6.693e-17,0.0,0.0
25%,13510.55,-0.104962977786672,0.000245825,2.190225e-05,2.4,5.2916e-16,1.4764449999999999e-15,1.3940887499999999e-16,0.746
50%,31673.8,0.49619771863117873,0.0005218,5.39125e-05,6.0,1.9783175e-15,3.8982e-15,8.480812499999999e-16,1.3579999999999999
75%,59044.6,1.0118459799894048,0.0012158895833333334,0.000133216875,17.2,6.2555e-15,1.076740625e-14,3.407975e-15,2.162
max,173752.4,333.28000000000003,44.46791466666667,748.3338613999999,115846.4,2.1100006771800003e-09,3.08400128964e-09,1.136400192464e-09,116.86200000000001
