index,sepn,instrument,detect_stack_id,name,ra,dec,obsid,obi,src_rate_aper_m,src_rate_aper_lolim_m,src_rate_aper_hilim_m,src_cnts_aper_u,src_cnts_aper_lolim_u,src_cnts_aper_hilim_u,photflux_aper_s,photflux_aper_lolim_s,photflux_aper_hilim_s,flux_aper_s,flux_aper_lolim_s,flux_aper_hilim_s,streak_src_flag,src_cnts_aper_h,src_cnts_aper_lolim_h,src_cnts_aper_hilim_h,sat_src_flag,src_rate_aper_s,src_rate_aper_lolim_s,src_rate_aper_hilim_s,likelihood_b,likelihood_h,likelihood_m,likelihood_s,likelihood_u,gti_start,gti_stop,gti_elapse,gti_obs,gti_end,gti_mjd_obs,mjd_ref,photflux_aper_b,photflux_aper_lolim_b,photflux_aper_hilim_b,src_rate_aper_b,src_rate_aper_lolim_b,src_rate_aper_hilim_b,theta,phi,region_id,flux_aper_h,flux_aper_lolim_h,flux_aper_hilim_h,src_cnts_aper_m,src_cnts_aper_lolim_m,src_cnts_aper_hilim_m,photflux_aper_u,photflux_aper_lolim_u,photflux_aper_hilim_u,src_cnts_aper_s,src_cnts_aper_lolim_s,src_cnts_aper_hilim_s,src_rate_aper_h,src_rate_aper_lolim_h,src_rate_aper_hilim_h,flux_significance_b,flux_significance_h,flux_significance_m,flux_significance_s,flux_significance_u,src_rate_aper_u,src_rate_aper_lolim_u,src_rate_aper_hilim_u,flux_aper_b,flux_aper_lolim_b,flux_aper_hilim_b,flux_aper_u,flux_aper_lolim_u,flux_aper_hilim_u,flux_aper_m,flux_aper_lolim_m,flux_aper_hilim_m,photflux_aper_h,photflux_aper_lolim_h,photflux_aper_hilim_h,src_cnts_aper_b,src_cnts_aper_lolim_b,src_cnts_aper_hilim_b,photflux_aper_m,photflux_aper_lolim_m,photflux_aper_hilim_m,hard_hm,hard_hm_lolim,hard_hm_hilim,hard_hs,hard_hs_lolim,hard_hs_hilim,hard_ms,hard_ms_lolim,hard_ms_hilim,flux_powlaw,flux_powlaw_lolim,flux_powlaw_hilim,powlaw_gamma,powlaw_gamma_lolim,powlaw_gamma_hilim,powlaw_gamma_rhat,powlaw_nh,powlaw_nh_lolim,powlaw_nh_hilim,powlaw_nh_rhat,powlaw_ampl,powlaw_ampl_lolim,powlaw_ampl_hilim,powlaw_ampl_rhat,powlaw_stat,flux_bb,flux_bb_lolim,flux_bb_hilim,bb_kt,bb_kt_lolim,bb_kt_hilim,bb_kt_rhat,bb_nh,bb_nh_lolim,bb_nh_hilim,bb_nh_rhat,bb_ampl,bb_ampl_lolim,bb_ampl_hilim,bb_ampl_rhat,bb_stat,flux_brems,flux_brems_lolim,flux_brems_hilim,brems_kt,brems_kt_lolim,brems_kt_hilim,brems_kt_rhat,brems_nh,brems_nh_lolim,brems_nh_hilim,brems_nh_rhat,brems_norm,brems_norm_lolim,brems_norm_hilim,brems_norm_rhat,brems_stat,flux_apec,flux_apec_lolim,flux_apec_hilim,apec_kt,apec_kt_lolim,apec_kt_hilim,apec_kt_rhat,apec_abund,apec_abund_lolim,apec_abund_hilim,apec_abund_rhat,apec_z,apec_z_lolim,apec_z_hilim,apec_z_rhat,apec_nh,apec_nh_lolim,apec_nh_hilim,apec_nh_rhat,apec_norm,apec_norm_lolim,apec_norm_hilim,apec_norm_rhat,apec_stat,var_index_b,var_prob_b,ks_prob_b,kp_prob_b,var_sigma_b,var_mean_b,var_min_b,var_max_b,var_index_h,var_prob_h,ks_prob_h,kp_prob_h,var_sigma_h,var_mean_h,var_min_h,var_max_h,var_index_m,var_prob_m,ks_prob_m,kp_prob_m,var_sigma_m,var_mean_m,var_min_m,var_max_m,var_index_s,var_prob_s,ks_prob_s,kp_prob_s,var_sigma_s,var_mean_s,var_min_s,var_max_s,var_index_u,var_prob_u,ks_prob_u,kp_prob_u,var_sigma_u,var_mean_u,var_min_u,var_max_u,livetime,detector,match_type,cnts_aper_b,cnts_aperbkg_b,cnts_aper_h,cnts_aperbkg_h,cnts_aper_m,cnts_aperbkg_m,cnts_aper_s,cnts_aperbkg_s,cnts_aper_u,cnts_aperbkg_u,significance,likelihood,pileup_flag,mstr_sat_src_flag,mstr_streak_src_flag,mstr_flux_aper_b,mstr_flux_aper_lolim_b,mstr_flux_aper_hilim_b,var_inter_index_b,var_inter_prob_b,var_inter_sigma_b,var_inter_index_h,var_inter_prob_h,var_inter_sigma_h,var_inter_index_m,var_inter_prob_m,var_inter_sigma_m,var_inter_index_s,var_inter_prob_s,var_inter_sigma_s,var_inter_index_u,var_inter_prob_u,var_inter_sigma_u,acis_num,acis_hetg_num,acis_letg_num,hrc_num,hrc_hetg_num,hrc_letg_num
0,1.672203,ACIS,acisfJ1047513p123606_001, 2CXO J104749.9+123444,161.9581,12.57908,1587,0,9.1377e-05,2.2844e-05,0.0001561,0.0,0.0,1.732,1.094e-07,0.0,2.188e-07,2.763e-16,3.188e-17,5.101e-16,False,0.0,0.0,1.202,False,6.1343e-05,0.0,0.00012269,     9.09,      NaN,      NaN,      NaN,      NaN,98416662.188,98448584.682,31922.494,2001-02-13T01:57:42,2001-02-13T10:49:45,51953.08174,50814.0,3.716e-07,1.239e-07,6.069e-07,0.00013795,4.5983e-05,0.00022532,1.457,4.16,56,      NaN,      NaN,      NaN,2.8801,0.72001,4.9201,0.0,0.0,3.395e-07,1.9334,0.0,3.8668,0.0,0.0,3.6827e-05,1.54,0.0,1.37,1.0,0.0,0.0,0.0,6.9415e-05,3.05e-16,1.386e-17,5.962e-16,0.000e+00,0.000e+00,3.342e-16,2.701e-16,5.873e-17,4.816e-16,0.0,0.0,9.139e-08,4.3479,1.4493,7.1016,1.437e-07,3.592e-08,2.454e-07,  -0.9994,  -1.0000,  -0.2317,  -0.9994,  -1.0000,  -0.1643,   0.0462,  -0.4116,   0.5203,      NaN,      NaN,      NaN,      NaN,      NaN,      NaN,      NaN,      NaN,      NaN,      NaN,      NaN,      NaN,      NaN,      NaN,      NaN,      NaN,      NaN,      NaN,      NaN,      NaN,      NaN,      NaN,      NaN,      NaN,      NaN,      NaN,      NaN,      NaN,      NaN,      NaN,      NaN,      NaN,      NaN,      NaN,      NaN,      NaN,      NaN,      NaN,      NaN,      NaN,      NaN,      NaN,      NaN,      NaN,      NaN,      NaN,      NaN,      NaN,      NaN,      NaN,      NaN,      NaN,      NaN,      NaN,      NaN,      NaN,      NaN,      NaN,      NaN,      NaN,      NaN,      NaN,      NaN,      NaN,      NaN,      NaN,      NaN,      NaN,      NaN,      NaN,      NaN,      NaN,,      NaN,      NaN,      NaN,      NaN,      NaN,      NaN,      NaN,,      NaN,      NaN,      NaN,      NaN,      NaN,      NaN,      NaN,,      NaN,      NaN,      NaN,      NaN,      NaN,      NaN,      NaN,,      NaN,      NaN,      NaN,      NaN,      NaN,      NaN,      NaN,,      NaN,      NaN,      NaN,      NaN,      NaN,      NaN,      NaN,31518.2,         ACIS-7,u          ,6,51,0,10,3,12,3,29,1,16,3.89,40.89223,False,False,False,8.247e-16,6.414e-16,9.977e-16,0,0.299,1.495e-07,4,0.641,1.009e-07,5,0.812,1.302e-07,0,0.194,8.219e-08,0,0.211,4.677e-07,5,0,0,0,0,0
1,1.672203,ACIS,acisfJ1047513p123606_001, 2CXO J104749.9+123444,161.9581,12.57908,7073,0,5.5706e-05,2.2631e-05,8.8782e-05,1.5333,0.080702,2.986,2.17e-07,1.189e-07,3.152e-07,3.981e-16,2.180e-16,5.688e-16,False,4.5683,1.7684,7.3682,False,0.00010273,5.6259e-05,0.00014921,    22.31,     5.20,      NaN,    11.68,      NaN,254383640.993,254468818.592,85177.6,2006-01-23T06:07:21,2006-01-24T05:46:59,53758.2551,50814.0,5.731e-07,3.991e-07,7.47e-07,0.00020906,0.00014559,0.00027252,1.382,359.98,56,5.176e-16,1.342e-16,9.009e-16,4.6848,1.9032,7.4665,2.789e-07,1.468e-08,5.431e-07,8.6398,4.7313,12.548,5.432e-05,2.1027e-05,8.7613e-05,3.29,1.63,1.68,2.21,1.06,1.8233e-05,9.5961e-07,3.5506e-05,1.139e-15,7.445e-16,1.511e-15,0.000e+00,0.000e+00,1.668e-16,2.380e-16,1.010e-16,3.751e-16,1.322e-07,5.116e-08,2.132e-07,17.581,12.244,22.919,9.155e-08,3.719e-08,1.459e-07,   0.2436,  -0.1505,   0.5765,  -0.2174,  -0.5465,   0.1230,  -0.4247,  -0.6902,  -0.1068,      NaN,      NaN,      NaN,      NaN,      NaN,      NaN,      NaN,      NaN,      NaN,      NaN,      NaN,      NaN,      NaN,      NaN,      NaN,      NaN,      NaN,      NaN,      NaN,      NaN,      NaN,      NaN,      NaN,      NaN,      NaN,      NaN,      NaN,      NaN,      NaN,      NaN,      NaN,      NaN,      NaN,      NaN,      NaN,      NaN,      NaN,      NaN,      NaN,      NaN,      NaN,      NaN,      NaN,      NaN,      NaN,      NaN,      NaN,      NaN,      NaN,      NaN,      NaN,      NaN,      NaN,      NaN,      NaN,      NaN,      NaN,      NaN,      NaN,      NaN,      NaN,      NaN,      NaN,      NaN,      NaN,      NaN,      NaN,      NaN,      NaN,      NaN,      NaN,      NaN,0.0,    0.448,    0.560,    0.323,1.349e-05,0.0002348,0.0002295,0.0003400,,      NaN,      NaN,      NaN,      NaN,      NaN,      NaN,      NaN,,      NaN,      NaN,      NaN,      NaN,      NaN,      NaN,      NaN,,      NaN,      NaN,      NaN,      NaN,      NaN,      NaN,      NaN,,      NaN,      NaN,      NaN,      NaN,      NaN,      NaN,      NaN,84099.0,         ACIS-7,u          ,20,97,5,24,5,19,10,54,2,21,3.89,40.89223,False,False,False,8.247e-16,6.414e-16,9.977e-16,0,0.299,1.495e-07,4,0.641,1.009e-07,5,0.812,1.302e-07,0,0.194,8.219e-08,0,0.211,4.677e-07,5,0,0,0,0,0
2,1.672203,ACIS,acisfJ1047513p123606_001, 2CXO J104749.9+123444,161.9581,12.57908,7076,0,0.0,0.0,1.7596e-05,0.0,0.0,2.0803,1.102e-07,2.967e-08,1.907e-07,1.656e-16,3.976e-17,2.915e-16,False,3.0636,0.63825,5.4889,False,5.1208e-05,1.3787e-05,8.863e-05,     1.51,      NaN,      NaN,      NaN,      NaN,284782002.88,284852140.479,70137.6,2007-01-10T02:06:43,2007-01-10T21:35:40,54110.088,50814.0,2.409e-07,1.024e-07,3.794e-07,8.7408e-05,3.7148e-05,0.00013767,1.385,359.66,56,9.264e-16,1.208e-16,1.692e-15,0.0,0.0,1.1782,0.0,0.0,4.969e-07,3.5461,0.95473,6.1376,4.424e-05,9.2166e-06,7.9263e-05,1.74,1.26,0.0,1.37,0.0,0.0,0.0,3.0041e-05,1.024e-15,3.938e-16,1.628e-15,0.000e+00,0.000e+00,6.184e-16,      NaN,      NaN,      NaN,1.082e-07,2.255e-08,1.939e-07,6.053,2.5725,9.5334,0.0,0.0,2.816e-08,   0.9994,   0.6002,   1.0000,   0.0275,  -0.4304,   0.4728,  -0.9994,  -1.0000,  -0.5953,      NaN,      NaN,      NaN,      NaN,      NaN,      NaN,      NaN,      NaN,      NaN,      NaN,      NaN,      NaN,      NaN,      NaN,      NaN,      NaN,      NaN,      NaN,      NaN,      NaN,      NaN,      NaN,      NaN,      NaN,      NaN,      NaN,      NaN,      NaN,      NaN,      NaN,      NaN,      NaN,      NaN,      NaN,      NaN,      NaN,      NaN,      NaN,      NaN,      NaN,      NaN,      NaN,      NaN,      NaN,      NaN,      NaN,      NaN,      NaN,      NaN,      NaN,      NaN,      NaN,      NaN,      NaN,      NaN,      NaN,      NaN,      NaN,      NaN,      NaN,      NaN,      NaN,      NaN,      NaN,      NaN,      NaN,      NaN,      NaN,      NaN,      NaN,      NaN,      NaN,,      NaN,      NaN,      NaN,      NaN,      NaN,      NaN,      NaN,,      NaN,      NaN,      NaN,      NaN,      NaN,      NaN,      NaN,,      NaN,      NaN,      NaN,      NaN,      NaN,      NaN,      NaN,,      NaN,      NaN,      NaN,      NaN,      NaN,      NaN,      NaN,,      NaN,      NaN,      NaN,      NaN,      NaN,      NaN,      NaN,69249.5,         ACIS-7,u          ,9,86,4,32,0,11,5,43,1,21,3.89,40.89223,False,False,False,8.247e-16,6.414e-16,9.977e-16,0,0.299,1.495e-07,4,0.641,1.009e-07,5,0.812,1.302e-07,0,0.194,8.219e-08,0,0.211,4.677e-07,5,0,0,0,0,0
3,1.672203,ACIS,acisfJ1047473p123348_001, 2CXO J104749.9+123444,161.9581,12.57908,7074,0,4.227e-05,1.0908e-05,7.2269e-05,1.7943,0.0,3.5031,8.301e-08,1.717e-08,1.46e-07,1.304e-16,2.508e-17,2.358e-16,False,5.3644,2.1458,8.4298,False,3.9278e-05,9.4809e-06,6.9075e-05,    20.06,     7.42,      NaN,      NaN,      NaN,260967094.936,261037046.936,69952.0,2006-04-09T10:51:35,2006-04-10T06:17:27,53834.45249,50814.0,4.317e-07,2.677e-07,5.958e-07,0.00015748,9.7639e-05,0.00021732,1.145,11.54,60,1.304e-15,4.740e-16,2.094e-15,2.9195,0.75341,4.9913,4.085e-07,0.0,7.975e-07,2.7128,0.65481,4.7708,7.7671e-05,3.1068e-05,0.00012205,2.63,1.71,1.33,1.29,1.02,2.5979e-05,0.0,5.0721e-05,1.559e-15,9.282e-16,2.19e-15,0.000e+00,0.000e+00,1.978e-16,1.697e-16,4.096e-17,2.985e-16,1.887e-07,7.548e-08,2.965e-07,10.877,6.7435,15.01,6.886e-08,1.722e-08,1.205e-07,   0.5334,   0.1680,   0.8064,   0.4247,   0.0281,   0.7377,  -0.1624,  -0.5703,   0.2929,      NaN,      NaN,      NaN,      NaN,      NaN,      NaN,      NaN,      NaN,      NaN,      NaN,      NaN,      NaN,      NaN,      NaN,      NaN,      NaN,      NaN,      NaN,      NaN,      NaN,      NaN,      NaN,      NaN,      NaN,      NaN,      NaN,      NaN,      NaN,      NaN,      NaN,      NaN,      NaN,      NaN,      NaN,      NaN,      NaN,      NaN,      NaN,      NaN,      NaN,      NaN,      NaN,      NaN,      NaN,      NaN,      NaN,      NaN,      NaN,      NaN,      NaN,      NaN,      NaN,      NaN,      NaN,      NaN,      NaN,      NaN,      NaN,      NaN,      NaN,      NaN,      NaN,      NaN,      NaN,      NaN,      NaN,      NaN,      NaN,      NaN,      NaN,      NaN,      NaN,0.0,    0.470,    0.560,    0.085,7.503e-06,0.0001573,0.0001550,0.0002305,,      NaN,      NaN,      NaN,      NaN,      NaN,      NaN,      NaN,,      NaN,      NaN,      NaN,      NaN,      NaN,      NaN,      NaN,,      NaN,      NaN,      NaN,      NaN,      NaN,      NaN,      NaN,,      NaN,      NaN,      NaN,      NaN,      NaN,      NaN,      NaN,69066.2,         ACIS-7,u          ,11,37,5,14,3,11,3,12,2,19,3.89,40.89223,False,False,False,8.247e-16,6.414e-16,9.977e-16,0,0.299,1.495e-07,4,0.641,1.009e-07,5,0.812,1.302e-07,0,0.194,8.219e-08,0,0.211,4.677e-07,5,0,0,0,0,0
4,1.672203,ACIS,acisfJ1047473p123348_001, 2CXO J104749.9+123444,161.9581,12.57908,7075,0,3.4695e-05,8.6738e-06,6.0716e-05,0.0,0.0,1.2483,1.569e-07,7.383e-08,2.353e-07,2.920e-16,1.383e-16,4.458e-16,False,1.7595,0.0,3.5191,False,7.3615e-05,3.4642e-05,0.00011042,    20.51,      NaN,      NaN,    12.74,      NaN,268312840.592,268397016.591,84176.0,2006-07-03T11:20:41,2006-07-04T10:43:37,53919.47269,50814.0,3.595e-07,2.197e-07,4.926e-07,0.00013113,8.0137e-05,0.0001797,1.123,10.89,60,2.260e-16,0.000e+00,4.520e-16,2.8835,0.72088,5.0461,0.0,0.0,2.277e-07,6.1113,2.8759,9.1669,2.1171e-05,0.0,4.2342e-05,2.63,1.0,1.33,1.94,0.0,0.0,0.0,1.41e-05,5.858e-16,3.068e-16,8.508e-16,      NaN,      NaN,      NaN,1.476e-16,3.690e-17,2.583e-16,5.164e-08,0.0,1.033e-07,10.899,6.6602,14.935,5.714e-08,1.428e-08,9.999e-08,   0.0687,  -0.4229,   0.5116,  -0.4697,  -0.7964,  -0.0968,  -0.4897,  -0.7726,  -0.1455,      NaN,      NaN,      NaN,      NaN,      NaN,      NaN,      NaN,      NaN,      NaN,      NaN,      NaN,      NaN,      NaN,      NaN,      NaN,      NaN,      NaN,      NaN,      NaN,      NaN,      NaN,      NaN,      NaN,      NaN,      NaN,      NaN,      NaN,      NaN,      NaN,      NaN,      NaN,      NaN,      NaN,      NaN,      NaN,      NaN,      NaN,      NaN,      NaN,      NaN,      NaN,      NaN,      NaN,      NaN,      NaN,      NaN,      NaN,      NaN,      NaN,      NaN,      NaN,      NaN,      NaN,      NaN,      NaN,      NaN,      NaN,      NaN,      NaN,      NaN,      NaN,      NaN,      NaN,      NaN,      NaN,      NaN,      NaN,      NaN,      NaN,      NaN,      NaN,      NaN,0.0,    0.464,    0.591,    0.451,6.238e-06,0.0001426,0.0001410,0.0002051,,      NaN,      NaN,      NaN,      NaN,      NaN,      NaN,      NaN,,      NaN,      NaN,      NaN,      NaN,      NaN,      NaN,      NaN,0.0,    0.488,    0.081,    0.259,3.108e-06,8.316e-05,8.240e-05,0.0001209,,      NaN,      NaN,      NaN,      NaN,      NaN,      NaN,      NaN,83110.1,         ACIS-7,u          ,12,61,2,15,3,15,7,31,0,23,3.89,40.89223,False,False,False,8.247e-16,6.414e-16,9.977e-16,0,0.299,1.495e-07,4,0.641,1.009e-07,5,0.812,1.302e-07,0,0.194,8.219e-08,0,0.211,4.677e-07,5,0,0,0,0,0
5,0.0,ACIS,acisfJ1047473p123348_001, 2CXO J104749.9+123446,161.9583,12.57949,7074,0,4.7443e-05,1.4826e-05,7.8578e-05,4.6766,1.8959,7.3309,1.003e-07,3.344e-08,1.639e-07,1.651e-16,4.890e-17,2.812e-16,False,9.1457,5.3493,12.942,False,4.6916e-05,1.5639e-05,7.8193e-05,    25.40,    15.98,      NaN,      NaN,      NaN,260967094.936,261037046.936,69952.0,2006-04-09T10:51:35,2006-04-10T06:17:27,53834.45249,50814.0,5.792e-07,3.893e-07,7.596e-07,0.00021067,0.0001416,0.00027629,1.173,11.32,62,2.632e-15,1.518e-15,3.746e-15,3.2767,1.024,5.4271,1.067e-06,4.324e-07,1.701e-06,3.2403,1.0801,5.4005,0.00013242,7.7452e-05,0.00018738,3.13,2.41,1.47,1.54,1.68,6.7802e-05,2.7487e-05,0.00010812,2.846e-15,1.947e-15,3.745e-15,7.016e-16,2.177e-16,1.185e-15,1.774e-16,4.777e-17,3.003e-16,3.236e-07,1.893e-07,4.579e-07,14.55,9.7798,19.083,7.648e-08,2.458e-08,1.284e-07,   0.6458,   0.3866,   0.8389,   0.5559,   0.2667,   0.7851,  -0.1599,  -0.5465,   0.2630,      NaN,      NaN,      NaN,      NaN,      NaN,      NaN,      NaN,      NaN,      NaN,      NaN,      NaN,      NaN,      NaN,      NaN,      NaN,      NaN,      NaN,      NaN,      NaN,      NaN,      NaN,      NaN,      NaN,      NaN,      NaN,      NaN,      NaN,      NaN,      NaN,      NaN,      NaN,      NaN,      NaN,      NaN,      NaN,      NaN,      NaN,      NaN,      NaN,      NaN,      NaN,      NaN,      NaN,      NaN,      NaN,      NaN,      NaN,      NaN,      NaN,      NaN,      NaN,      NaN,      NaN,      NaN,      NaN,      NaN,      NaN,      NaN,      NaN,      NaN,      NaN,      NaN,      NaN,      NaN,      NaN,      NaN,      NaN,      NaN,      NaN,      NaN,      NaN,      NaN,0.0,    0.439,    0.130,    0.035,1.041e-05,0.0002144,0.0002116,0.0003028,0.0,    0.480,    0.021,    0.053,5.791e-06,0.0001287,0.0001270,0.0001875,,      NaN,      NaN,      NaN,      NaN,      NaN,      NaN,      NaN,,      NaN,      NaN,      NaN,      NaN,      NaN,      NaN,      NaN,,      NaN,      NaN,      NaN,      NaN,      NaN,      NaN,      NaN,69066.2,         ACIS-7,u          ,15,37,9,14,3,11,3,12,5,19,3.44,29.13946,False,False,False,0.0,0.0,2.35e-16,6,0.986,3.135e-07,6,0.956,2.827e-07,5,0.84,7.92e-08,3,0.536,9.715e-08,5,0.68,7.954e-07,5,0,0,0,0,0
6,0.0,ACIS,acisfJ1047473p123348_001, 2CXO J104749.9+123446,161.9583,12.57949,7075,0,4.7784e-05,1.5414e-05,7.8612e-05,3.7162,1.3187,5.9939,0.0,0.0,5.561e-08,0.000e+00,0.000e+00,6.876e-17,False,1.9412,0.0,3.7942,False,0.0,0.0,2.6024e-05,     5.60,      NaN,     7.57,      NaN,      NaN,268312840.592,268397016.591,84176.0,2006-07-03T11:20:41,2006-07-04T10:43:37,53919.47269,50814.0,1.856e-07,7.644e-08,2.948e-07,6.7486e-05,2.7789e-05,0.00010718,1.152,10.88,62,2.054e-16,0.000e+00,4.205e-16,3.9713,1.2811,6.5335,7.209e-07,2.558e-07,1.163e-06,0.0,0.0,1.9869,2.3357e-05,0.0,4.5653e-05,1.7,1.05,1.51,0.0,1.59,4.452e-05,1.5797e-05,7.1806e-05,3.008e-16,7.218e-17,5.173e-16,      NaN,      NaN,      NaN,1.969e-16,7.032e-17,3.235e-16,5.686e-08,2.585e-09,1.111e-07,5.6088,2.3095,8.9081,7.884e-08,2.543e-08,1.297e-07,  -0.0462,  -0.5141,   0.3841,   0.9994,   0.1043,   1.0000,   0.9994,   0.1855,   1.0000,      NaN,      NaN,      NaN,      NaN,      NaN,      NaN,      NaN,      NaN,      NaN,      NaN,      NaN,      NaN,      NaN,      NaN,      NaN,      NaN,      NaN,      NaN,      NaN,      NaN,      NaN,      NaN,      NaN,      NaN,      NaN,      NaN,      NaN,      NaN,      NaN,      NaN,      NaN,      NaN,      NaN,      NaN,      NaN,      NaN,      NaN,      NaN,      NaN,      NaN,      NaN,      NaN,      NaN,      NaN,      NaN,      NaN,      NaN,      NaN,      NaN,      NaN,      NaN,      NaN,      NaN,      NaN,      NaN,      NaN,      NaN,      NaN,      NaN,      NaN,      NaN,      NaN,      NaN,      NaN,      NaN,      NaN,      NaN,      NaN,      NaN,      NaN,      NaN,      NaN,,      NaN,      NaN,      NaN,      NaN,      NaN,      NaN,      NaN,,      NaN,      NaN,      NaN,      NaN,      NaN,      NaN,      NaN,,      NaN,      NaN,      NaN,      NaN,      NaN,      NaN,      NaN,,      NaN,      NaN,      NaN,      NaN,      NaN,      NaN,      NaN,,      NaN,      NaN,      NaN,      NaN,      NaN,      NaN,      NaN,83110.1,         ACIS-7,u          ,7,61,2,15,4,15,1,31,4,23,3.44,29.13946,False,False,False,0.0,0.0,2.35e-16,6,0.986,3.135e-07,6,0.956,2.827e-07,5,0.84,7.92e-08,3,0.536,9.715e-08,5,0.68,7.954e-07,5,0,0,0,0,0
